playerId,gamesPlayed,playerDetails.givenName,playerDetails.surname,playerDetails.age,playerDetails.heightCm,playerDetails.weightKg,playerDetails.jumperNumber,playerDetails.kickingFoot,playerDetails.stateOfOrigin,playerDetails.draftYear,playerDetails.debutYear,playerDetails.recruitedFrom,playerDetails.draftPosition,playerDetails.draftType,playerDetails.position,playerDetails.bio,playerDetails.aflAwards,playerDetails.photoURL,playerDetails.dateOfBirth,team.teamId,team.teamAbbr,team.teamName,team.teamNickname,totals.matchesPlayed,totals.timeOnGroundPercentage,totals.behinds,totals.bounces,totals.centreBounceAttendances,totals.centreClearances,totals.clangers,totals.contestDefLosses,totals.contestDefLossPercentage,totals.contestDefOneOnOnes,totals.contestedMarks,totals.contestedPossessionRate,totals.contestedPossessions,totals.contestOffOneOnOnes,totals.contestOffWins,totals.contestOffWinsPercentage,totals.defHalfPressureActs,totals.disposalEfficiency,totals.disposals,totals.dreamTeamPoints,totals.effectiveDisposals,totals.effectiveKicks,totals.f50GroundBallGets,totals.freesAgainst,totals.freesFor,totals.goalAccuracy,totals.goalAssists,totals.goals,totals.groundBallGets,totals.handballs,totals.hitouts,totals.hitoutsToAdvantage,totals.hitoutToAdvantageRate,totals.hitoutWinPercentage,totals.inside50s,totals.interceptMarks,totals.intercepts,totals.kickEfficiency,totals.kickins,totals.kickinsPlayon,totals.kicks,totals.kickToHandballRatio,totals.marks,totals.marksInside50,totals.marksOnLead,totals.metresGained,totals.onePercenters,totals.pressureActs,totals.ranking,totals.ratingPoints,totals.rebound50s,totals.ruckContests,totals.scoreInvolvements,totals.scoreLaunches,totals.shotsAtGoal,totals.spoils,totals.stoppageClearances,totals.tackles,totals.tacklesInside50,totals.totalClearances,totals.totalPossessions,totals.turnovers,totals.uncontestedPossessions,averages.matchesPlayed,averages.timeOnGroundPercentage,averages.behinds,averages.bounces,averages.centreBounceAttendances,averages.centreClearances,averages.clangers,averages.contestDefLosses,averages.contestDefLossPercentage,averages.contestDefOneOnOnes,averages.contestedMarks,averages.contestedPossessionRate,averages.contestedPossessions,averages.contestOffOneOnOnes,averages.contestOffWins,averages.contestOffWinsPercentage,averages.defHalfPressureActs,averages.disposalEfficiency,averages.disposals,averages.dreamTeamPoints,averages.effectiveDisposals,averages.effectiveKicks,averages.f50GroundBallGets,averages.freesAgainst,averages.freesFor,averages.goalAccuracy,averages.goalAssists,averages.goals,averages.groundBallGets,averages.handballs,averages.hitouts,averages.hitoutsToAdvantage,averages.hitoutToAdvantageRate,averages.hitoutWinPercentage,averages.inside50s,averages.interceptMarks,averages.intercepts,averages.kickEfficiency,averages.kickins,averages.kickinsPlayon,averages.kicks,averages.kickToHandballRatio,averages.marks,averages.marksInside50,averages.marksOnLead,averages.metresGained,averages.onePercenters,averages.pressureActs,averages.ratingPoints,averages.rebound50s,averages.ruckContests,averages.scoreInvolvements,averages.scoreLaunches,averages.shotsAtGoal,averages.spoils,averages.stoppageClearances,averages.tackles,averages.tacklesInside50,averages.totalClearances,averages.totalPossessions,averages.turnovers,averages.uncontestedPossessions
CD_I1000061,3.0,Callum,Coleman-Jones,25,200,0,21,RIGHT,SA,2017,2019,Unley (SA)/Scotch College (SA)/Sturt (SANFL)/Richmond,20.0,nationalDraft,KEY_FORWARD,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000061.png?im=Scale,width=0.6,height=0.6",13/06/1999,CD_T100,NMFC,North Melbourne,Kangaroos,3.0,48.6,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,2.0,47.6,10.0,4.0,2.0,50.0,2.0,83.3,18.0,78.0,15.0,6.0,1.0,1.0,3.0,0.0,2.0,0.0,4.0,12.0,11.0,3.0,27.3,44.0,2.0,1.0,3.0,100.0,0.0,0.0,6.0,0.5,7.0,0.0,1.0,145.0,3.0,10.0,573.0,57.6,0.0,25.0,8.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,21.0,5.0,11.0,3.0,48.6,0.0,0.0,10.0,0.0,0.7,0.0,0.0,0.0,0.7,47.6,3.3,1.3,0.7,50.0,0.7,83.3,6.0,26.0,5.0,2.0,0.3,0.3,1.0,0.0,0.7,0.0,1.3,4.0,3.7,1.0,27.3,44.0,0.7,0.3,1.0,100.0,0.0,0.0,2.0,0.5,2.3,0.0,0.3,48.6,1.0,3.3,57.6,0.0,8.3,2.7,1.0,0.0,0.3,0.0,0.3,0.3,0.0,7.0,1.7,3.7
CD_I1000068,7.0,Chris,Burgess,29,193,0,21,RIGHT,SA,2018,2019,Flinders Park (SA)/West Adelaide (SANFL)/Gold Coast Suns,,other,KEY_FORWARD,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000068.png?im=Scale,width=0.6,height=0.6",26/11/1995,CD_T10,ADEL,Adelaide Crows,Crows,7.0,73.0,6.0,0.0,18.0,1.0,10.0,0.0,0.0,0.0,4.0,46.2,24.0,18.0,2.0,11.1,15.0,63.0,54.0,321.0,34.0,23.0,5.0,4.0,5.0,46.7,4.0,7.0,14.0,18.0,34.0,12.0,35.3,35.4,11.0,2.0,8.0,63.9,0.0,0.0,36.0,2.0,22.0,11.0,3.0,937.0,7.0,67.0,615.0,31.0,1.0,96.0,25.0,3.0,15.0,6.0,1.0,9.0,2.0,2.0,52.0,11.0,28.0,7.0,73.0,0.9,0.0,18.0,0.1,1.4,0.0,0.0,0.0,0.6,46.2,3.4,2.6,0.3,11.1,2.1,63.0,7.7,45.9,4.9,3.3,0.7,0.6,0.7,46.7,0.6,1.0,2.0,2.6,4.9,1.7,35.3,35.4,1.6,0.3,1.1,63.9,0.0,0.0,5.1,2.0,3.1,1.6,0.4,134.0,1.0,9.6,31.0,0.1,13.7,3.6,0.4,2.1,0.9,0.1,1.3,0.3,0.3,7.4,1.6,4.0
CD_I1000072,20.0,John,Noble,27,180,0,9,RIGHT,SA,2019,2019,Plympton (SA)/West Adelaide (SANFL),14.0,other,MEDIUM_DEFENDER,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000072.png?im=Scale,width=0.6,height=0.6",25/03/1997,CD_T40,COLL,Collingwood,Magpies,20.0,76.1,1.0,8.0,0.0,1.0,44.0,2.0,50.0,4.0,1.0,20.2,71.0,0.0,0.0,0.0,191.0,81.5,378.0,1487.0,308.0,187.0,0.0,7.0,15.0,25.0,7.0,1.0,55.0,143.0,0.0,0.0,0.0,0.0,36.0,14.0,77.0,79.6,22.0,22.0,235.0,1.6,93.0,1.0,0.0,7408.0,29.0,258.0,259.0,271.9,79.0,0.0,71.0,22.0,4.0,21.0,12.0,54.0,3.0,13.0,351.0,70.0,280.0,20.0,76.1,0.1,0.4,0.0,0.1,2.2,0.1,50.0,0.2,0.1,20.2,3.6,0.0,0.0,0.0,9.6,81.5,18.9,74.4,15.4,9.4,0.0,0.4,0.8,25.0,0.4,0.1,2.8,7.2,0.0,0.0,0.0,0.0,1.8,0.7,3.9,79.6,22.0,22.0,11.8,1.6,4.7,0.1,0.0,370.4,1.5,12.9,271.9,4.0,0.0,3.6,1.1,0.2,1.1,0.6,2.7,0.2,0.7,17.6,3.5,14.0
CD_I1000223,18.0,Liam,Baker,27,173,0,7,RIGHT,WA,2017,2018,Lake Grace (WA)/West Perth (WAFL)/Subiaco (WAFL),18.0,rookieElevation,MIDFIELDER_FORWARD,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000223.png?im=Scale,width=0.6,height=0.6",27/01/1998,CD_T120,RICH,Richmond,Tigers,18.0,81.4,13.0,8.0,175.0,20.0,78.0,0.0,0.0,0.0,2.0,42.2,151.0,6.0,1.0,16.7,179.0,65.6,358.0,1413.0,235.0,116.0,21.0,27.0,18.0,46.7,9.0,14.0,103.0,151.0,0.0,0.0,0.0,0.0,69.0,5.0,50.0,56.0,0.0,0.0,207.0,1.4,60.0,11.0,6.0,5427.0,24.0,390.0,118.0,378.3,18.0,0.0,101.0,33.0,30.0,8.0,36.0,69.0,12.0,56.0,358.0,77.0,207.0,18.0,81.4,0.7,0.4,175.0,1.1,4.3,0.0,0.0,0.0,0.1,42.2,8.4,0.3,0.1,16.7,9.9,65.6,19.9,78.5,13.1,6.4,1.2,1.5,1.0,46.7,0.5,0.8,5.7,8.4,0.0,0.0,0.0,0.0,3.8,0.3,2.8,56.0,0.0,0.0,11.5,1.4,3.3,0.6,0.3,301.6,1.3,21.7,378.3,1.0,0.0,5.6,1.8,1.7,0.4,2.0,3.8,0.7,3.1,19.9,4.3,11.5
CD_I1000860,20.0,Lachie,Schultz,27,178,0,8,RIGHT,VIC,2018,2019,Moama (NSW)/Bendigo U18/Williamstown (VFL)/Fremantle,57.0,nationalDraft,MEDIUM_FORWARD,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000860.png?im=Scale,width=0.6,height=0.6",30/11/1997,CD_T40,COLL,Collingwood,Magpies,20.0,80.2,21.0,0.0,0.0,2.0,47.0,0.0,0.0,0.0,3.0,33.9,81.0,6.0,2.0,33.3,86.0,61.7,243.0,1244.0,150.0,71.0,23.0,15.0,12.0,44.4,4.0,24.0,62.0,107.0,0.0,0.0,0.0,0.0,41.0,1.0,20.0,52.2,0.0,0.0,136.0,1.3,62.0,28.0,9.0,3916.0,23.0,348.0,225.0,294.9,4.0,0.0,95.0,14.0,54.0,16.0,14.0,76.0,34.0,16.0,239.0,55.0,158.0,20.0,80.2,1.1,0.0,0.0,0.1,2.4,0.0,0.0,0.0,0.2,33.9,4.1,0.3,0.1,33.3,4.3,61.7,12.2,62.2,7.5,3.6,1.2,0.8,0.6,44.4,0.2,1.2,3.1,5.4,0.0,0.0,0.0,0.0,2.1,0.1,1.0,52.2,0.0,0.0,6.8,1.3,3.1,1.4,0.5,195.8,1.2,17.4,294.9,0.2,0.0,4.8,0.7,2.7,0.8,0.7,3.8,1.7,0.8,12.0,2.8,7.9
CD_I1000864,24.0,Lachlan,Bramble,26,182,0,29,RIGHT,VIC,2020,2021,Sunbury (Vic)/Calder U18/Williamstown (VFL)/Box Hill Hawks (VFL)/Hawthorn,,preseason,MEDIUM_DEFENDER,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000864.png?im=Scale,width=0.6,height=0.6",19/04/1998,CD_T140,WB,Western Bulldogs,Bulldogs,24.0,81.7,3.0,25.0,0.0,3.0,49.0,4.0,36.4,11.0,1.0,23.5,92.0,0.0,0.0,0.0,160.0,81.6,445.0,1650.0,363.0,233.0,3.0,14.0,10.0,25.0,4.0,2.0,80.0,149.0,0.0,0.0,0.0,0.0,52.0,15.0,80.0,78.7,68.0,63.0,296.0,2.0,115.0,3.0,2.0,8881.0,26.0,268.0,283.0,256.3,82.0,0.0,83.0,33.0,8.0,14.0,8.0,34.0,1.0,11.0,391.0,76.0,299.0,24.0,81.7,0.1,1.0,0.0,0.1,2.0,0.2,36.4,0.5,0.0,23.5,3.8,0.0,0.0,0.0,6.7,81.6,18.5,68.8,15.1,9.7,0.1,0.6,0.4,25.0,0.2,0.1,3.3,6.2,0.0,0.0,0.0,0.0,2.2,0.6,3.3,78.7,68.0,63.0,12.3,2.0,4.8,0.1,0.1,370.0,1.1,11.2,256.3,3.4,0.0,3.5,1.4,0.3,0.6,0.3,1.4,0.0,0.5,16.3,3.2,12.5
CD_I1000887,4.0,Mitch,Lewis,26,199,0,2,RIGHT,VIC,2016,2018,Whittlesea (Vic)/Assumption College (Vic)/Calder U18,76.0,nationalDraft,KEY_FORWARD,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000887.png?im=Scale,width=0.6,height=0.6",14/10/1998,CD_T80,HAW,Hawthorn,Hawks,4.0,81.5,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,46.7,14.0,16.0,1.0,6.3,6.0,59.4,32.0,175.0,19.0,9.0,3.0,3.0,0.0,55.6,1.0,5.0,6.0,11.0,1.0,0.0,0.0,14.3,2.0,0.0,1.0,42.9,0.0,0.0,21.0,1.9,18.0,8.0,2.0,508.0,12.0,38.0,423.0,156.7,0.0,7.0,13.0,0.0,9.0,7.0,1.0,3.0,1.0,1.0,30.0,7.0,16.0,4.0,81.5,0.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.8,46.7,3.5,4.0,0.3,6.3,1.5,59.4,8.0,43.8,4.8,2.3,0.8,0.8,0.0,55.6,0.3,1.3,1.5,2.8,0.3,0.0,0.0,14.3,0.5,0.0,0.3,42.9,0.0,0.0,5.3,1.9,4.5,2.0,0.5,127.2,3.0,9.5,156.7,0.0,1.8,3.3,0.0,2.3,1.8,0.3,0.8,0.3,0.3,7.5,1.8,4.0
CD_I1000932,0.0,Tom,Doedee,27,190,0,12,RIGHT,VIC,2015,2018,"St Joseph's, Geel (Vic)/St Joseph's College, Geel (Vic)/Geel U18/Adelaide Crows",17.0,nationalDraft,MEDIUM_DEFENDER,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000932.png?im=Scale,width=0.6,height=0.6",01/03/1997,CD_T20,BL,Brisbane Lions,Lions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.0,105.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD_I1000937,25.0,Jack,Henry,26,192,0,38,RIGHT,VIC,2016,2018,"St Mary's, Geelong (Vic)/Geelong U18",16.0,rookieElevation,KEY_DEFENDER,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000937.png?im=Scale,width=0.6,height=0.6",29/08/1998,CD_T70,GEEL,Geelong Cats,Cats,25.0,94.6,0.0,0.0,0.0,1.0,39.0,15.0,23.8,63.0,31.0,42.2,119.0,0.0,0.0,0.0,150.0,80.8,287.0,1340.0,232.0,170.0,0.0,10.0,17.0,0.0,0.0,0.0,66.0,73.0,0.0,0.0,0.0,0.0,11.0,68.0,166.0,79.4,0.0,0.0,214.0,2.9,143.0,0.0,1.0,4415.0,130.0,174.0,197.0,313.3,71.0,0.0,39.0,25.0,0.0,116.0,5.0,34.0,0.0,6.0,282.0,42.0,163.0,25.0,94.6,0.0,0.0,0.0,0.0,1.6,0.6,23.8,2.5,1.2,42.2,4.8,0.0,0.0,0.0,6.0,80.8,11.5,53.6,9.3,6.8,0.0,0.4,0.7,0.0,0.0,0.0,2.6,2.9,0.0,0.0,0.0,0.0,0.4,2.7,6.6,79.4,0.0,0.0,8.6,2.9,5.7,0.0,0.0,176.6,5.2,7.0,313.3,2.8,0.0,1.6,1.0,0.0,4.6,0.2,1.4,0.0,0.2,11.3,1.7,6.5
CD_I1000953,21.0,Harry,McKay,27,200,0,10,LEFT,VIC,2015,2017,Warragul (Vic)/Gippsland U18,10.0,nationalDraft,KEY_FORWARD,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000953.png?im=Scale,width=0.6,height=0.6",24/12/1997,CD_T30,CARL,Carlton,Blues,21.0,89.2,21.0,0.0,66.0,10.0,65.0,0.0,0.0,0.0,42.0,45.6,129.0,61.0,18.0,29.5,46.0,70.8,274.0,1698.0,194.0,144.0,16.0,22.0,27.0,58.3,6.0,49.0,39.0,67.0,30.0,9.0,30.0,19.1,46.0,11.0,22.0,69.6,0.0,0.0,207.0,3.1,143.0,57.0,33.0,5711.0,32.0,166.0,177.0,325.7,6.0,157.0,126.0,17.0,84.0,27.0,10.0,52.0,21.0,20.0,283.0,54.0,154.0,21.0,89.2,1.0,0.0,66.0,0.5,3.1,0.0,0.0,0.0,2.0,45.6,6.1,2.9,0.9,29.5,2.2,70.8,13.0,80.9,9.2,6.9,0.8,1.0,1.3,58.3,0.3,2.3,1.9,3.2,1.4,0.4,30.0,19.1,2.2,0.5,1.0,69.6,0.0,0.0,9.9,3.1,6.8,2.7,1.6,272.0,1.5,7.9,325.7,0.3,7.5,6.0,0.8,4.0,1.3,0.5,2.5,1.0,1.0,13.5,2.6,7.3
CD_I1000963,12.0,Harry,Morrison,26,184,0,1,RIGHT,VIC,2016,2017,Benalla Saints (Vic)/Murray U18,74.0,nationalDraft,MIDFIELDER,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000963.png?im=Scale,width=0.6,height=0.6",12/11/1998,CD_T80,HAW,Hawthorn,Hawks,12.0,68.1,1.0,0.0,0.0,3.0,27.0,0.0,0.0,4.0,2.0,31.1,55.0,3.0,0.0,0.0,76.0,73.8,183.0,734.0,135.0,80.0,7.0,6.0,6.0,40.0,3.0,2.0,43.0,61.0,0.0,0.0,0.0,0.0,21.0,11.0,47.0,65.6,1.0,1.0,122.0,2.0,51.0,2.0,1.0,2902.0,20.0,126.0,392.0,184.8,22.0,0.0,40.0,11.0,5.0,10.0,11.0,23.0,2.0,14.0,177.0,30.0,122.0,12.0,68.1,0.1,0.0,0.0,0.3,2.3,0.0,0.0,0.3,0.2,31.1,4.6,0.3,0.0,0.0,6.3,73.8,15.3,61.2,11.3,6.7,0.6,0.5,0.5,40.0,0.3,0.2,3.6,5.1,0.0,0.0,0.0,0.0,1.8,0.9,3.9,65.6,1.0,1.0,10.2,2.0,4.3,0.2,0.1,241.9,1.7,10.5,184.8,1.8,0.0,3.3,0.9,0.4,0.8,0.9,1.9,0.2,1.2,14.8,2.5,10.2
CD_I1000972,26.0,Willem,Drew,26,188,0,28,RIGHT,VIC,2016,2019,Koroit (Vic)/North Ballarat U18,33.0,nationalDraft,MIDFIELDER,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000972.png?im=Scale,width=0.6,height=0.6",01/10/1998,CD_T110,PORT,Port Adelaide,Power,26.0,80.5,7.0,1.0,387.0,36.0,85.0,0.0,0.0,2.0,4.0,44.2,224.0,3.0,2.0,66.7,281.0,68.8,503.0,2180.0,346.0,163.0,22.0,28.0,29.0,23.5,11.0,4.0,157.0,220.0,0.0,0.0,0.0,0.0,99.0,9.0,58.0,57.6,0.0,0.0,283.0,1.3,93.0,4.0,9.0,7758.0,38.0,594.0,72.0,415.4,31.0,0.0,134.0,39.0,17.0,10.0,69.0,159.0,18.0,105.0,507.0,98.0,283.0,26.0,80.5,0.3,0.0,387.0,1.4,3.3,0.0,0.0,0.1,0.2,44.2,8.6,0.1,0.1,66.7,10.8,68.8,19.3,83.8,13.3,6.3,0.8,1.1,1.1,23.5,0.4,0.2,6.0,8.5,0.0,0.0,0.0,0.0,3.8,0.3,2.2,57.6,0.0,0.0,10.9,1.3,3.6,0.2,0.3,298.4,1.5,22.8,415.4,1.2,0.0,5.2,1.5,0.7,0.4,2.7,6.1,0.7,4.0,19.5,3.8,10.9
CD_I1000978,27.0,Hugh,McCluggage,26,187,0,6,RIGHT,VIC,2016,2017,South Warrnambool (Vic)/North Ballarat U18,3.0,nationalDraft,MIDFIELDER,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000978.png?im=Scale,width=0.6,height=0.6",03/03/1998,CD_T20,BL,Brisbane Lions,Lions,27.0,81.9,14.0,6.0,449.0,52.0,86.0,0.0,0.0,2.0,3.0,35.1,240.0,5.0,2.0,40.0,216.0,67.5,667.0,2651.0,450.0,230.0,26.0,21.0,30.0,47.5,6.0,19.0,167.0,270.0,0.0,0.0,0.0,0.0,124.0,7.0,45.0,57.9,0.0,0.0,397.0,1.5,143.0,5.0,8.0,11616.0,19.0,554.0,44.0,459.1,49.0,0.0,177.0,45.0,40.0,5.0,72.0,99.0,24.0,124.0,683.0,121.0,443.0,27.0,81.9,0.5,0.2,449.0,1.9,3.2,0.0,0.0,0.1,0.1,35.1,8.9,0.2,0.1,40.0,8.0,67.5,24.7,98.2,16.7,8.5,1.0,0.8,1.1,47.5,0.2,0.7,6.2,10.0,0.0,0.0,0.0,0.0,4.6,0.3,1.7,57.9,0.0,0.0,14.7,1.5,5.3,0.2,0.3,430.2,0.7,20.5,459.1,1.8,0.0,6.6,1.7,1.5,0.2,2.7,3.7,0.9,4.6,25.3,4.5,16.4
CD_I1000980,21.0,Lloyd,Meek,26,203,0,17,RIGHT,VIC,2017,2021,SMW Rovers (Vic)/GWV U18/North Ballarat (VFL)/Fremantle,69.0,nationalDraft,RUCK,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000980.png?im=Scale,width=0.6,height=0.6",22/04/1998,CD_T80,HAW,Hawthorn,Hawks,21.0,82.4,6.0,0.0,494.0,23.0,72.0,0.0,0.0,5.0,13.0,56.4,176.0,23.0,5.0,21.7,156.0,67.5,305.0,1903.0,206.0,69.0,9.0,37.0,33.0,53.3,13.0,8.0,90.0,185.0,759.0,222.0,29.2,45.3,44.0,13.0,46.0,57.5,0.0,0.0,120.0,0.6,50.0,7.0,4.0,3452.0,55.0,316.0,130.0,366.7,15.0,1677.0,104.0,75.0,15.0,35.0,49.0,72.0,7.0,72.0,312.0,45.0,136.0,21.0,82.4,0.3,0.0,494.0,1.1,3.4,0.0,0.0,0.2,0.6,56.4,8.4,1.1,0.2,21.7,7.4,67.5,14.5,90.6,9.8,3.3,0.4,1.8,1.6,53.3,0.6,0.4,4.3,8.8,36.1,10.6,29.2,45.3,2.1,0.6,2.2,57.5,0.0,0.0,5.7,0.6,2.4,0.3,0.2,164.4,2.6,15.0,366.7,0.7,79.9,5.0,3.6,0.7,1.7,2.3,3.4,0.3,3.4,14.9,2.1,6.5
CD_I1000981,23.0,Daniel,Rioli,27,179,0,17,RIGHT,NT,2015,2016,St Mary's (NT)/East Point (Vic)/St Pat's Coll (Vic)/N Ball U18,15.0,nationalDraft,MEDIUM_DEFENDER,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000981.png?im=Scale,width=0.6,height=0.6",16/04/1997,CD_T120,RICH,Richmond,Tigers,23.0,83.9,1.0,54.0,0.0,8.0,61.0,3.0,75.0,4.0,0.0,26.9,136.0,0.0,0.0,0.0,257.0,76.9,536.0,1921.0,412.0,201.0,4.0,11.0,11.0,60.0,7.0,6.0,117.0,247.0,0.0,0.0,0.0,0.0,56.0,12.0,114.0,69.6,34.0,34.0,289.0,1.2,91.0,2.0,6.0,8860.0,28.0,381.0,101.0,387.3,89.0,0.0,89.0,24.0,10.0,14.0,18.0,68.0,3.0,26.0,505.0,90.0,369.0,23.0,83.9,0.0,2.3,0.0,0.3,2.7,0.1,75.0,0.2,0.0,26.9,5.9,0.0,0.0,0.0,11.2,76.9,23.3,83.5,17.9,8.7,0.2,0.5,0.5,60.0,0.3,0.3,5.1,10.7,0.0,0.0,0.0,0.0,2.4,0.5,5.0,69.6,34.0,34.0,12.6,1.2,4.0,0.1,0.3,385.2,1.2,16.6,387.3,3.9,0.0,3.9,1.0,0.4,0.6,0.8,3.0,0.1,1.1,22.0,3.9,16.0
CD_I1000998,17.0,Lachlan,Murphy,26,178,0,4,LEFT,VIC,2017,2018,Diamond Ck (Vic)/Ivanhoe Gram (Vic)/Northern U18/Adel (SANFL),38.0,rookieElevation,MEDIUM_FORWARD,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000998.png?im=Scale,width=0.6,height=0.6",04/12/1998,CD_T10,ADEL,Adelaide Crows,Crows,17.0,71.8,6.0,2.0,0.0,2.0,34.0,1.0,100.0,1.0,1.0,48.0,98.0,11.0,3.0,27.3,76.0,71.9,196.0,898.0,141.0,61.0,21.0,10.0,21.0,53.8,11.0,7.0,69.0,98.0,0.0,0.0,0.0,0.0,38.0,1.0,26.0,62.2,0.0,0.0,98.0,1.0,47.0,5.0,4.0,3171.0,9.0,246.0,236.0,287.9,4.0,0.0,63.0,10.0,13.0,5.0,15.0,57.0,22.0,17.0,204.0,44.0,106.0,17.0,71.8,0.4,0.1,0.0,0.1,2.0,0.1,100.0,0.1,0.1,48.0,5.8,0.6,0.2,27.3,4.5,71.9,11.5,52.8,8.3,3.6,1.2,0.6,1.2,53.8,0.6,0.4,4.1,5.8,0.0,0.0,0.0,0.0,2.2,0.1,1.5,62.2,0.0,0.0,5.8,1.0,2.8,0.3,0.2,186.5,0.5,14.5,287.9,0.2,0.0,3.7,0.6,0.8,0.3,0.9,3.4,1.3,1.0,12.0,2.6,6.2
CD_I1001017,23.0,Nick,Larkey,26,198,0,20,RIGHT,VIC,2016,2017,Hawthorn Citizens (Vic)/Oakleigh U18,73.0,nationalDraft,KEY_FORWARD,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1001017.png?im=Scale,width=0.6,height=0.6",06/06/1998,CD_T100,NMFC,North Melbourne,Kangaroos,23.0,94.4,14.0,1.0,22.0,3.0,43.0,0.0,0.0,0.0,20.0,41.8,97.0,70.0,16.0,22.9,28.0,76.7,219.0,1272.0,168.0,109.0,19.0,16.0,24.0,67.6,7.0,46.0,46.0,74.0,34.0,3.0,8.8,38.6,30.0,1.0,8.0,75.2,0.0,0.0,145.0,2.0,99.0,50.0,35.0,3719.0,33.0,166.0,190.0,320.1,1.0,88.0,106.0,4.0,68.0,21.0,3.0,23.0,12.0,6.0,232.0,46.0,135.0,23.0,94.4,0.6,0.0,22.0,0.1,1.9,0.0,0.0,0.0,0.9,41.8,4.2,3.0,0.7,22.9,1.2,76.7,9.5,55.3,7.3,4.7,0.8,0.7,1.0,67.6,0.3,2.0,2.0,3.2,1.5,0.1,8.8,38.6,1.3,0.0,0.3,75.2,0.0,0.0,6.3,2.0,4.3,2.2,1.5,161.7,1.4,7.2,320.1,0.0,3.8,4.6,0.2,3.0,0.9,0.1,1.0,0.5,0.3,10.1,2.0,5.9
